customer_id,customer_name,region,age,income
10000,Shane Gonzalez,West,69,68510
10001,Diane Fisher,South,65,102288
10002,Jared Berry,East,30,115142
10003,Lisa Mack,East,47,77567
10004,Kathryn Edwards,East,28,79912
10005,Erin Greene,East,44,105594
10006,Nicholas Hines,East,38,56080
10007,Kimberly Thomas,South,37,71793
10008,Tyler Williams,West,35,74336
10009,Victor Matthews,South,22,85289
10010,Laura Williams,East,45,80925
10011,Tracy Wells,West,56,86986
10012,Jason Adams,South,39,32141
10013,Carmen Craig,West,45,96036
10014,Jennifer Freeman,South,45,102668
10015,Heather Brown,North,64,63104
10016,Franklin Oliver,West,64,70580
10017,Billy Shepherd,West,70,50624
10018,Michelle Valenzuela,East,28,30137
10019,James Bennett,South,44,76137
10020,Kylie James,North,56,80309
10021,Claudia Woodward,West,18,115107
10022,Paul Wells,East,43,45582
10023,Rhonda Harris,East,27,80446
10024,Anna Garcia,East,38,85987
10025,Chad Jackson,North,32,78576
10026,Caroline Williams,West,31,104239
10027,Eric Martin,North,24,93831
10028,Jeffrey Powell,South,51,42610
10029,Jeffrey Taylor,North,57,89784
10030,Alicia Miller,East,42,30749
10031,Latasha Rios,East,35,38536
10032,Nicholas Smith,South,61,46471
10033,Christopher Logan,North,41,34450
10034,Barbara Marshall,North,32,59279
10035,Kathryn Mitchell,South,68,53566
10036,Jennifer Ray,South,25,45429
10037,Elizabeth Mckinney DDS,West,41,109168
10038,Patricia Cervantes,South,68,47378
10039,Rita Murphy,South,43,100998
10040,Dr. Jacob Fisher,West,63,77091
10041,Veronica Serrano,East,63,45236
10042,Claire Daugherty,West,67,64010
10043,Emily Johnson,West,52,101826
10044,Kim Burch,North,53,56671
10045,Maria Mcgee,South,63,77797
10046,Mary Salas,South,67,111355
10047,Jonathan Wheeler,West,67,60542
10048,Natalie Wright,South,21,59871
10049,Hannah Watkins,East,33,61804
10050,Adam Lynch,West,25,108985
10051,Jessica Hicks,South,51,98415
10052,Elizabeth Massey,South,56,72593
10053,Jose Martinez,North,50,42021
10054,Angela Guerrero,East,66,34510
10055,Michael James,South,35,73169
10056,Carla Chen,West,21,68429
10057,Douglas Ward,South,58,39789
10058,Luis Wong,East,30,98606
10059,Julie Carney,West,22,74304
10060,Charles Sexton,North,54,107932
10061,Erica Moss,East,56,109825
10062,Benjamin Gill,East,61,67985
10063,Richard Bond,South,35,31885
10064,Brian Turner,North,23,95066
10065,Mikayla Collins,South,67,88532
10066,Fernando Zamora,North,48,110712
10067,John Parker,East,24,43273
10068,Jason Smith,West,49,55599
10069,Craig Green,East,62,66998
10070,Justin Schwartz,South,52,66819
10071,Amanda Hernandez,West,27,97308
10072,Barry Lawrence,East,53,110996
10073,Pamela Holloway,North,42,101109
10074,Rachel Perez,West,36,48295
10075,Fred Wheeler,North,49,119397
10076,Sheryl Martin,West,22,50804
10077,Jaime Stewart,West,37,59918
10078,Sabrina Burnett,East,29,83150
10079,Deborah Delgado,West,29,88716
10080,Robert Nguyen,North,47,53263
10081,Courtney Webb,West,29,65650
10082,Dawn Cole,East,31,61547
10083,Catherine Bell,West,20,109458
10084,Annette Allen,East,68,51682
10085,Alex Gordon,East,54,76869
10086,Crystal Marshall,South,38,35459
10087,Kara Reese,West,66,42585
10088,Jennifer James,West,28,102602
10089,Holly Williams,West,64,74421
10090,Mark Simmons,South,41,70540
10091,Charles Mccall,East,50,90543
10092,Christopher Jackson,East,47,34420
10093,Mitchell Cunningham,North,28,119240
10094,Jennifer Ortega,North,55,84373
10095,Daniel Brooks,South,59,68552
10096,Dennis Friedman,South,32,82250
10097,Anthony George PhD,South,62,106914
10098,Jonathan Dunn,North,56,36198
10099,Joshua Hawkins,North,31,47610
10100,Steven Crawford,West,60,43334
10101,Leonard Hill,South,20,102527
10102,Pamela Rodriguez,West,22,52056
10103,Eric Payne,East,69,36433
10104,Chelsea Douglas,South,43,93712
10105,Christine Warren,South,18,57347
10106,Jonathan Bautista,North,58,102240
10107,Larry Olsen,North,68,60447
10108,Joel Jarvis,West,65,42367
10109,William Alvarez,West,51,57250
10110,Angela Thomas,West,28,34338
10111,Sonya Myers,West,57,105132
10112,Emily Cook,East,46,54851
10113,Thomas Potter,North,29,59883
10114,Diamond Price,West,37,107260
10115,David Pitts,South,44,93433
10116,Anthony Vega,East,21,90830
10117,Sabrina Vasquez,North,70,59205
10118,Sarah Castillo,West,68,68901
10119,Adrian Brown,West,44,88358
10120,Bridget Johnson,North,69,52875
10121,Jeffrey Swanson,North,18,102850
10122,Paul Oconnor,West,38,38054
10123,Erica Perry,South,63,116934
10124,Amanda Williams,West,70,81873
10125,Gerald Drake,East,59,95810
10126,Christopher Kim,East,63,91202
10127,Denise Adams,West,22,48192
10128,Joel White,North,36,117734
10129,Courtney Hunt,North,60,62621
10130,Bradley Alexander,West,60,113980
10131,Jonathan Jacobs,North,43,53806
10132,Shawn Holden,East,55,82965
10133,Vicki Martinez DDS,North,37,55220
10134,Grace Mccarthy,West,39,100314
10135,Anthony Taylor,West,37,103112
10136,Michael Preston,West,35,104804
10137,Kristen Nichols,West,38,42337
10138,Trevor David,South,65,71176
10139,Paul Ward,East,32,91756
10140,Shannon Ortiz,East,58,75275
10141,Victor Baker,East,47,33184
10142,Stephen Williams,South,19,38143
10143,Ashley Barnett,South,21,108401
10144,Sarah Reilly,East,49,88123
10145,Lisa Dawson,East,59,117204
10146,Mario Abbott,North,54,42849
10147,Lucas Gutierrez,East,19,83163
10148,Donna Adams,West,20,116961
10149,Stephanie Ford,West,37,74157
10150,Michelle King,South,31,68879
10151,Ashley Flores,West,42,58827
10152,Jason Yates,East,24,103034
10153,Antonio Miller,South,57,118910
10154,Miguel Jimenez,West,54,110587
10155,Meredith Pierce,North,28,77654
10156,John Marquez,West,28,40483
10157,Tracey Gallagher,East,62,74304
10158,Antonio Garcia,East,57,41474
10159,Daniel Arnold,South,49,101287
10160,Arthur Williams,West,38,86935
10161,Dawn Odonnell,North,36,36082
10162,Rebecca Cobb,East,58,37656
10163,Tammy West,East,40,38485
10164,Jordan Bennett,East,54,58278
10165,Keith Juarez,North,59,115368
10166,Kevin Mckenzie PhD,East,58,39961
10167,James Owens,North,52,48143
10168,Brian Griffin,East,64,78801
10169,Maria Stanley,South,36,87634
10170,Jennifer Gonzales,East,45,109373
10171,Rachel Burch,West,58,67198
10172,Carolyn Salazar,South,28,40932
10173,Danielle Drake,South,38,81526
10174,Dominique Parker,West,64,91758
10175,Kristi Moore,East,18,77470
10176,Austin Hopkins,North,53,55530
10177,Jennifer Martinez,South,33,104088
10178,Lisa Herman,West,20,81934
10179,Karl Gillespie,North,20,114715
10180,Sean Davis,North,56,56533
10181,Anthony Wheeler,East,36,74679
10182,Monica Martinez,West,64,117620
10183,Michael Foster,South,29,40587
10184,Stacie Mitchell,West,39,66023
10185,Jenna Bradley,North,39,88321
10186,Devin Jones,South,41,64592
10187,Daniel Hayes,North,23,88851
10188,Corey Smith,North,29,55318
10189,Paul Simpson,West,50,81335
10190,Patricia Peterson,West,30,70528
10191,Duane Brown,North,41,104156
10192,John Peterson,South,70,100821
10193,Amanda Chang,East,46,54969
10194,Ashley Mckinney,North,49,75365
10195,Seth Page,South,68,72261
10196,Micheal Martinez,North,48,55910
10197,Sarah Sanchez,North,68,31220
10198,Donna Robles,South,40,31113
10199,Joseph Clark,West,44,51574
10200,Eric White,West,21,82186
10201,Ashley Garcia,West,63,76266
10202,Dr. Wesley Sloan,North,36,109314
10203,Robert Franco,West,43,86168
10204,Gerald Davies,East,40,67668
10205,Denise Gardner,East,60,101945
10206,Jessica Hall,East,21,73253
10207,Danny Obrien,North,34,78106
10208,Brittney Smith,North,33,62224
10209,Steven Moore,West,18,113114
10210,Mary Park,North,41,64177
10211,Juan Wilson,North,30,93521
10212,Brandi Perez,East,66,58436
10213,Ryan Harper,South,63,47256
10214,Sabrina Meyer,West,32,113266
10215,David Irwin,East,56,59653
10216,Molly Fox,West,56,85316
10217,Christopher Williams,West,20,38155
10218,Andrew Johnson,East,48,44612
10219,Sara Johnson,North,49,88833
10220,Michael Phillips,East,60,75104
10221,Peggy Henson,East,41,94503
10222,Scott Carlson,West,48,76878
10223,Haley Duncan,North,21,114595
10224,Tommy Perez,East,39,49165
10225,Dr. Samuel Oneill MD,North,68,86108
10226,Valerie Graves,South,18,72059
10227,Larry Brown,South,30,55263
10228,Victoria Kelley,West,53,70881
10229,Richard Miller,North,63,54399
10230,Cory Taylor,South,21,118837
10231,Cynthia Smith,South,67,76590
10232,Lauren Mathis,South,21,45344
10233,Jason Hall,North,62,43635
10234,John Dennis,East,19,74572
10235,David Richardson,East,60,60692
10236,Nicholas Duffy,South,18,117487
10237,William Bentley,North,62,100594
10238,Gina Cooper,South,27,51855
10239,Miss Kimberly Velazquez,East,63,48343
10240,Jesse Landry,West,35,58244
10241,Tina Manning,East,45,49892
10242,Michelle Elliott,North,20,114180
10243,Brandon Smith,South,21,49157
10244,Jeffrey Fowler,North,20,74411
10245,William Stevenson,South,68,45597
10246,Anthony Reynolds,South,37,98843
10247,Chris Rangel,East,70,35491
10248,Gregory Medina,East,51,44465
10249,Justin Mejia,South,41,98820
10250,Brenda Blankenship,West,62,110762
10251,Erin Gonzalez,South,62,37389
10252,Kimberly Villanueva,West,63,56664
10253,Deanna Wang,East,24,110780
10254,Melissa Krueger,North,34,92658
10255,Matthew Floyd,North,28,46345
10256,Rodney Schmitt,West,46,70416
10257,Laura Decker,East,31,113080
10258,Kristin Blake,West,63,53247
10259,Abigail Anderson,North,52,97978
10260,Tracy Perry,East,41,70087
10261,April Gonzales,East,66,43554
10262,David Edwards,East,33,35377
10263,Julia Yates,East,35,114962
10264,Cynthia Wells,West,24,89391
10265,Kenneth Wheeler,North,27,57750
10266,Jacob Drake,North,34,115930
10267,Nathan Taylor,South,70,100610
10268,Jason Bradford,South,56,79951
10269,Walter Stark,South,24,87197
10270,Taylor Waters,West,46,115204
10271,Donna Velazquez,South,18,112522
10272,Tamara Woods,East,21,84147
10273,Alex Mccall,East,57,55809
10274,Erin Woods,North,32,84576
10275,Robert Smith,West,47,33394
10276,Ashley Copeland,West,19,107422
10277,William Cook,South,52,110646
10278,Mrs. Lauren Davila,West,44,57716
10279,Christina Johnson,North,68,36231
10280,Erica Berry,West,48,98286
10281,Lucas Perry,South,53,37536
10282,Dr. Kayla Stone MD,South,33,42594
10283,Cheryl Mcdonald,South,26,36063
10284,Andrea Martin,East,35,106734
10285,John Bailey,East,65,60424
10286,Samuel Walters,South,30,57097
10287,John Hammond,West,55,65827
10288,Robert Walsh,North,39,59314
10289,Andrea Reyes,South,60,99045
10290,Ethan Simmons,South,69,93566
10291,Kathryn Lynn,East,60,31131
10292,Lisa Reynolds,North,29,74393
10293,James Harris,North,44,50548
10294,Anna Smith,North,19,94952
10295,Crystal Miller,West,63,95977
10296,Kristin Vega,South,23,67862
10297,Douglas Jacobs,North,38,119338
10298,Theresa Rodriguez,North,65,61307
10299,Lisa Maldonado,North,52,107968
10300,Steven Griffin,South,65,46770
10301,Gregory Rodriguez MD,North,53,68236
10302,Martin Richard,North,40,105359
10303,Jamie Torres DDS,North,37,63866
10304,Craig Reeves,North,53,57110
10305,Margaret Espinoza,West,68,35028
10306,Jimmy Crawford,North,68,63701
10307,Aimee Walton,East,64,53191
10308,Danielle Love,South,57,110891
10309,John Ortiz,South,27,86432
10310,Joanna Sanchez,East,38,53538
10311,Caroline Richardson,West,56,33171
10312,Jon Cooper,East,47,87660
10313,Christina Singh,West,32,109624
10314,Joseph Thomas,North,27,55885
10315,Scott Tyler,North,33,87203
10316,Tammy Day,East,61,74482
10317,Michele Roth,South,30,64284
10318,Garrett Wright,South,42,60358
10319,Michelle James,West,66,59272
10320,Jason Spencer,West,52,106571
10321,Caitlin Grant,East,18,84239
10322,Rachel Moore,South,25,79441
10323,Brian Garcia,North,26,44062
10324,Keith Ayala,South,27,87163
10325,Linda Clark,East,42,106002
10326,Nicole Walker,North,63,38917
10327,James Fletcher,North,48,65460
10328,Mike Richardson,West,43,52882
10329,Christopher Martinez,South,21,86685
10330,Katherine Day,East,37,36675
10331,April Sweeney,East,37,94069
10332,Joseph Chavez,West,24,102289
10333,Angela Watson,North,36,40466
10334,Gabriel Bray,North,51,87216
10335,Peggy Olson,West,59,75961
10336,Megan Monroe,South,46,106513
10337,Michael Boyer,East,24,65567
10338,Sandra Solomon,East,41,47305
10339,Rebecca Thomas,North,61,84221
10340,Andres Nichols,North,64,70993
10341,Blake Shea,West,32,62222
10342,Amber Shea,South,64,88285
10343,Bobby Peterson,West,32,85813
10344,Diane Jackson,West,55,96737
10345,Jose Dickson,West,56,108410
10346,Joseph Wells,North,29,74720
10347,Tom Williams,North,50,30343
10348,Nicholas Sutton,South,27,63548
10349,Cody Hunt,East,27,76808
10350,Derek Ortega,North,38,96426
10351,Brooke Macdonald,North,70,94625
10352,Manuel Stewart,West,26,118044
10353,John Coleman,South,39,102363
10354,Carol Garcia,East,53,79243
10355,Robert Alvarez,South,31,112034
10356,Deborah Hodges,East,59,77322
10357,Michael Mcguire,East,51,94303
10358,Colton Robinson,North,55,35520
10359,Gina Parker,West,30,70894
10361,Stephen Frey,South,43,66669
10362,Shannon Ray,East,52,65150
10363,Stephanie Lawrence,South,68,112249
10364,Katherine Hughes,West,42,46302
10365,Katelyn Camacho,West,52,97455
10366,Penny Lopez,North,35,45521
10367,Jonathan Lawrence,North,35,32607
10368,Cheryl Noble,North,38,92448
10369,Nicole Jones,West,65,40762
10370,Cynthia Weiss,South,30,37087
10371,Christina Travis,East,53,69373
10372,Kenneth Cunningham,West,46,64721
10373,Patrick Salas,North,40,97465
10374,Cynthia Nguyen,East,53,42556
10375,Lauren Duran,North,64,111941
10376,Robert Greer,East,27,91244
10377,Kevin Moody,South,68,107510
10378,Christina Fernandez,South,49,104340
10379,Terry Pena,West,68,95193
10380,Roy Brock,North,62,65702
10381,Patricia Lopez,East,54,105597
10382,Larry Robertson,West,40,112231
10383,Dawn Cruz,East,19,85760
10384,Julie Abbott,West,58,50918
10385,Susan Dixon,North,47,48362
10386,Gabriel Dean,West,47,46228
10387,Amanda Howe,North,42,78602
10388,Stephen Quinn,South,68,39139
10389,Angela Jones,South,48,99952
10390,Alexander Ramirez,West,43,35391
10391,Christopher Henderson,North,28,80541
10392,Ricky Sanchez,North,20,107894
10393,Cameron Johnson,North,68,89262
10394,Maurice Jefferson,West,42,115537
10395,Courtney Love,North,63,60735
10396,Sarah Ali,North,21,98686
10397,Tony Jenkins,South,29,99995
10398,Robert Williams,East,42,47718
10399,Jennifer Elliott,North,58,49045
10400,Timothy Harris,West,63,32621
10401,Craig Lester,West,33,32502
10402,Toni Harris,West,19,81570
10403,Victor Henderson DDS,North,23,118017
10404,James Young,South,62,75456
10405,Mark Brown,West,50,75753
10406,Stephanie Velasquez,North,26,111753
10407,Clayton Ferguson,West,68,96099
10408,Jeremy Miranda,East,56,56728
10409,Alan Sweeney,South,27,113722
10410,Shannon Cummings,West,69,54397
10411,Elizabeth Brooks,North,68,58880
10412,Jasmine Tucker,West,57,72265
10413,Kelly Hall,South,50,112019
10414,Harold Howell,East,25,117295
10415,Timothy Carson,West,26,54377
10416,Michael Fisher,North,45,30433
10417,Nichole Williams,South,52,58727
10418,Molly Martin,South,21,108116
10419,Clayton Key,West,58,47810
10420,Felicia Davenport,East,67,115147
10421,Caitlin White,East,42,50249
10422,Matthew Kim,East,26,39078
10423,Jake Wells,North,39,104740
10424,Rhonda Mcgee,West,26,85540
10425,Sarah Meza,North,26,115186
10426,Brian Rivera,South,54,65254
10427,Linda Page,East,61,118794
10428,Todd Johnson,West,38,32161
10429,Emily Jefferson,East,56,89775
10430,Casey Carpenter,North,43,88478
10431,Tracy Hernandez,North,38,50642
10432,Anita Thompson,South,33,50713
10433,Susan Johnson,North,30,104684
10434,Keith Chan,West,62,39539
10435,Sean Harrison,South,20,34553
10436,Peter Henson,West,46,67412
10437,Alyssa Cross,North,70,116222
10438,Angela Rios,South,69,87972
10439,Eric Cochran,North,35,43526
10440,Susan Gonzalez,East,70,91462
10441,Tammy Mendoza,West,55,83746
10442,Jason Ellison,South,42,109600
10443,Amy Wood,North,60,103825
10444,Shannon Valentine,East,48,52983
10445,Stephen Griffin,West,64,70632
10446,Richard Giles,West,58,35238
10447,Kurt Myers,East,19,62288
10448,Mariah Lamb,North,57,38140
10449,Adrienne Anderson,South,33,89126
10450,Derek Ponce,North,51,94840
10451,Kelly Mayer,East,46,36187
10452,Karen Green MD,North,61,95002
10453,Brittany Herrera,North,68,31064
10454,Alan Erickson,West,28,106021
10455,Jeffrey Neal,West,27,87929
10456,Kurt Gonzalez,South,42,69567
10457,Marie Garrett,North,51,76695
10458,Lindsey Baird,North,53,113427
10459,Haley Wade,East,62,63699
10460,Nicolas Roach,East,37,89721
10461,Bradley Hensley,West,41,90917
10462,Kenneth Williams,East,61,104597
10463,Jason Mcdonald,West,29,75478
10464,Henry Freeman,North,61,100938
10465,Douglas Valdez,East,47,48129
10466,William Stanley,South,36,39055
10467,Manuel Carter,North,60,86922
10468,Melissa Dyer,East,39,70364
10469,Kim Harris,North,45,86646
10470,Kathryn Barnes,West,25,70553
10471,Kimberly Moore,East,53,108907
10472,Joseph Chen,South,63,47022
10473,Jimmy Holmes,South,20,104050
10474,Gregory Mcgee,South,19,36872
10475,Anita Mcdaniel,East,36,39912
10476,Crystal Ortiz,West,48,37712
10477,Jean Walton,South,70,69421
10478,Nathan Johnson,South,61,118951
10479,Bradley Heath,North,51,113453
10480,Charles Kennedy,West,42,113661
10481,Jeffrey Harvey,South,21,92641
10482,Rhonda Scott,South,44,104310
10483,Justin Cooke,West,70,87135
10484,Jennifer Nguyen,East,70,57619
10485,Joseph Morris,South,62,33270
10486,Michael Mason,West,44,108160
10487,Charles Cole,North,54,114922
10488,Micheal Bates,South,64,70994
10489,Destiny Hancock,South,37,47492
10490,Sarah Hodge,North,31,80490
